infraID,old infraID,scenarioID,comparison,NEW NAME,extension,old_layer_name
baseline,baseline,baseline,,utci-1500__baseline__baseline,tif,utci_1500_baseline
baseline,baseline,baseline,,utci-1200__baseline__baseline,tif,utci_1200_baseline
baseline,baseline,baseline,,utci-1800__baseline__baseline,tif,utci_1800_baseline
baseline,baseline,baseline,,shade-1500__baseline__baseline,tif,shade_1500_baseline
baseline,baseline,baseline,,shade-1200__baseline__baseline,tif,shade_1200_baseline
baseline,baseline,baseline,,shade-1800__baseline__baseline,tif,shade_1800_baseline
baseline,baseline,baseline,,tree-cover__baseline__baseline,tif,tree_cover_baseline
baseline,baseline,baseline,,tree-points__baseline__baseline,geojson,tree_points_baseline
baseline,baseline,baseline,,albedo__baseline__baseline,tif,albedo_baseline
baseline,baseline,baseline,,pedestrian-areas__baseline__baseline,tif,pedestrian_areas
baseline,baseline,baseline,,parks__baseline__baseline,geojson,parks
baseline,baseline,baseline,,building-areas__baseline__baseline,tif,buildings_areas
baseline,baseline,baseline,,building-polygons__baseline__baseline,geojson,buildings_polygons
baseline,baseline,baseline,,non-building-areas__baseline__baseline,tif,non_buildings_areas
baseline,baseline,baseline,,aoi__baseline__baseline,geojson,boundaries
trees,street-trees,pedestrian-achievable-90pctl,,plantable-areas__trees__pedestrian-achievable-90pctl,tif,plantable_areas
trees,street-trees,pedestrian-achievable-90pctl,,metrics__trees__pedestrian-achievable-90pctl,csv,scenario-metrics
trees,street-trees,pedestrian-achievable-90pctl,,tree-cover__trees__pedestrian-achievable-90pctl,tif,tree_cover_achievable
trees,street-trees,pedestrian-achievable-90pctl,,new-tree-points__trees__pedestrian-achievable-90pctl,geojson,tree_points_achievable
trees,street-trees,pedestrian-achievable-90pctl,vs-baseline,utci-1500__trees__pedestrian-achievable-90pctl__vs-baseline,tif,utci_1500_street_trees_achievable_vs_baseline
trees,street-trees,pedestrian-achievable-90pctl,vs-baseline,utci-1200__trees__pedestrian-achievable-90pctl__vs-baseline,tif,utci_1200_street_trees_achievable_vs_baseline
trees,street-trees,pedestrian-achievable-90pctl,vs-baseline,utci-1800__trees__pedestrian-achievable-90pctl__vs-baseline,tif,utci_1800_street_trees_achievable_vs_baseline
trees,street-trees,pedestrian-achievable-90pctl,vs-baseline,shade-1500__trees__pedestrian-achievable-90pctl__vs-baseline,tif,shade_1500_street_trees_achievable_vs_baseline
trees,street-trees,pedestrian-achievable-90pctl,vs-baseline,shade-1200__trees__pedestrian-achievable-90pctl__vs-baseline,tif,shade_1200_street_trees_achievable_vs_baseline
trees,street-trees,pedestrian-achievable-90pctl,vs-baseline,shade-1800__trees__pedestrian-achievable-90pctl__vs-baseline,tif,shade_1800_street_trees_achievable_vs_baseline
trees,street-trees,pedestrian-achievable-90pctl,,utci-1500__trees__pedestrian-achievable-90pctl,tif,utci_1500_street_trees_achievable
trees,street-trees,pedestrian-achievable-90pctl,,utci-1200__trees__pedestrian-achievable-90pctl,tif,utci_1200_street_trees_achievable
trees,street-trees,pedestrian-achievable-90pctl,,utci-1800__trees__pedestrian-achievable-90pctl,tif,utci_1800_street_trees_achievable
trees,street-trees,pedestrian-achievable-90pctl,,shade-1500__trees__pedestrian-achievable-90pctl,tif,shade_1500_street_trees_achievable
trees,street-trees,pedestrian-achievable-90pctl,,shade-1200__trees__pedestrian-achievable-90pctl,tif,shade_1200_street_trees_achievable
trees,street-trees,pedestrian-achievable-90pctl,,shade-1800__trees__pedestrian-achievable-90pctl,tif,shade_1800_street_trees_achievable
shade-structures,park-shade-structures,small-parks,,structures__shade-structures__small-parks,geojson,shade_structures_parks
shade-structures,park-shade-structures,small-parks,,metrics__shade-structures__small-parks,csv,scenario-metrics
shade-structures,park-shade-structures,small-parks,,structure-points__shade-structures__small-parks,geojson,shade_structures_parks_centroids
shade-structures,park-shade-structures,small-parks,,parks-with-structures__shade-structures__small-parks,geojson,parks_with_new_shade_structures
shade-structures,park-shade-structures,small-parks,vs-baseline,utci-1500__shade-structures__small-parks__vs-baseline,tif,utci_1500_park_shade_achievable_vs_baseline
shade-structures,park-shade-structures,small-parks,vs-baseline,utci-1200__shade-structures__small-parks__vs-baseline,tif,utci_1200_park_shade_achievable_vs_baseline
shade-structures,park-shade-structures,small-parks,vs-baseline,utci-1800__shade-structures__small-parks__vs-baseline,tif,utci_1800_park_shade_achievable_vs_baseline
shade-structures,park-shade-structures,small-parks,vs-baseline,shade-1500__shade-structures__small-parks__vs-baseline,tif,shade_1500_park_shade_achievable_vs_baseline
shade-structures,park-shade-structures,small-parks,vs-baseline,shade-1200__shade-structures__small-parks__vs-baseline,tif,shade_1200_park_shade_achievable_vs_baseline
shade-structures,park-shade-structures,small-parks,vs-baseline,shade-1800__shade-structures__small-parks__vs-baseline,tif,shade_1800_park_shade_achievable_vs_baseline
shade-structures,park-shade-structures,small-parks,,utci-1500__shade-structures__small-parks,tif,utci_1500_park_shade_achievable
shade-structures,park-shade-structures,small-parks,,utci-1200__shade-structures__small-parks,tif,utci_1200_park_shade_achievable
shade-structures,park-shade-structures,small-parks,,utci-1800__shade-structures__small-parks,tif,utci_1800_park_shade_achievable 
shade-structures,park-shade-structures,small-parks,,shade-1500__shade-structures__small-parks,tif,shade_1500_park_shade_achievable
shade-structures,park-shade-structures,small-parks,,shade-1200__shade-structures__small-parks,tif,shade_1200_park_shade_achievable
shade-structures,park-shade-structures,small-parks,,shade-1800__shade-structures__small-parks,tif,shade_1800_park_shade_achievable
cool-roofs,cool-roofs,large-buildings,vs-baseline,albedo__cool-roofs__large-buildings__vs-baseline,tif,albedo_achievable_vs_baseline
cool-roofs,cool-roofs,large-buildings,,albedo__cool-roofs__large-buildings,tif,albedo_cool_roofs_achievable
cool-roofs,cool-roofs,large-buildings,,metrics__cool-roofs__large-buildings,csv,scenario-metrics
cool-roofs,cool-roofs,large-buildings,vs-baseline,utci-1500__cool-roofs__large-buildings__vs-baseline,tif,utci_1500_cool_roofs_achievable_vs_baseline
cool-roofs,cool-roofs,large-buildings,vs-baseline,utci-1200__cool-roofs__large-buildings__vs-baseline,tif,utci_1200_cool_roofs_achievable_vs_baseline
cool-roofs,cool-roofs,large-buildings,vs-baseline,utci-1800__cool-roofs__large-buildings__vs-baseline,tif,utci_1800_cool_roofs_achievable_vs_baseline
cool-roofs,cool-roofs,large-buildings,,utci-1500__cool-roofs__large-buildings,tif,utci_1500_cool_roofs_achievable
cool-roofs,cool-roofs,large-buildings,,utci-1200__cool-roofs__large-buildings,tif,utci_1200_cool_roofs_achievable
cool-roofs,cool-roofs,large-buildings,,utci-1800__cool-roofs__large-buildings,tif,utci_1800_cool_roofs_achievable
trees_cool-roofs,street-trees-achievable-cool-roofs-all,pedestrian-achievable-90pctl_all-buildings,vs-baseline,albedo__trees_cool-roofs__pedestrian-achievable-90pctl_all-buildings__vs-baseline,tif,albedo_achievable_vs_baseline
trees_cool-roofs,street-trees-achievable-cool-roofs-all,pedestrian-achievable-90pctl_all-buildings,,albedo__trees_cool-roofs__pedestrian-achievable-90pctl_all-buildings,tif,albedo_achievable-tree_cool-roofs-all
trees_cool-roofs,street-trees-achievable-cool-roofs-all,pedestrian-achievable-90pctl_all-buildings,vs-baseline,utci-1500__trees_cool-roofs__pedestrian-achievable-90pctl_all-buildings__vs-baseline,tif,utci_1500_street_trees_cool_roofs_achievable_vs_baseline
trees_cool-roofs,street-trees-achievable-cool-roofs-all,pedestrian-achievable-90pctl_all-buildings,vs-baseline,utci-1200__trees_cool-roofs__pedestrian-achievable-90pctl_all-buildings__vs-baseline,tif,utci_1200_street_trees_cool_roofs_achievable_vs_baseline
trees_cool-roofs,street-trees-achievable-cool-roofs-all,pedestrian-achievable-90pctl_all-buildings,vs-baseline,utci-1800__trees_cool-roofs__pedestrian-achievable-90pctl_all-buildings__vs-baseline,tif,utci_1800_street_trees_cool_roofs_achievable_vs_baseline
trees_cool-roofs,street-trees-achievable-cool-roofs-all,pedestrian-achievable-90pctl_all-buildings,,utci-1500__trees_cool-roofs__pedestrian-achievable-90pctl_all-buildings,tif,utci_1500_street_trees_cool_roofs_achievable
trees_cool-roofs,street-trees-achievable-cool-roofs-all,pedestrian-achievable-90pctl_all-buildings,,utci-1200__trees_cool-roofs__pedestrian-achievable-90pctl_all-buildings,tif,utci_1200_street_trees_cool_roofs_achievable
trees_cool-roofs,street-trees-achievable-cool-roofs-all,pedestrian-achievable-90pctl_all-buildings,,utci-1800__trees_cool-roofs__pedestrian-achievable-90pctl_all-buildings,tif,utci_1200_street_trees_cool_roofs_achievable
trees_cool-roofs,street-trees-achievable-cool-roofs-all,pedestrian-achievable-90pctl_all-buildings,,plantable-areas__trees_cool-roofs__pedestrian-achievable-90pctl_all-buildings,tif,plantable_areas
trees_cool-roofs,street-trees-achievable-cool-roofs-all,pedestrian-achievable-90pctl_all-buildings,,tree-cover__trees_cool-roofs__pedestrian-achievable-90pctl_all-buildings,tif,tree_cover_achievable
trees_cool-roofs,street-trees-achievable-cool-roofs-all,pedestrian-achievable-90pctl_all-buildings,,tree-points__trees_cool-roofs__pedestrian-achievable-90pctl_all-buildings,geojson,tree_points_achievable
trees_cool-roofs,street-trees-achievable-cool-roofs-all,pedestrian-achievable-90pctl_all-buildings,,new-tree-points__trees_cool-roofs__pedestrian-achievable-90pctl_all-buildings,geojson,new_tree_points_achievable
trees_cool-roofs,street-trees-achievable-cool-roofs-all,pedestrian-achievable-90pctl_all-buildings,,shade-1500__trees_cool-roofs__pedestrian-achievable-90pctl_all-buildings,tif,shade_1500_street_trees_cool_roofs_achievable
trees_cool-roofs,street-trees-achievable-cool-roofs-all,pedestrian-achievable-90pctl_all-buildings,,shade-1200__trees_cool-roofs__pedestrian-achievable-90pctl_all-buildings,tif,shade_1200_street_trees_cool_roofs_achievable
trees_cool-roofs,street-trees-achievable-cool-roofs-all,pedestrian-achievable-90pctl_all-buildings,,shade-1800__trees_cool-roofs__pedestrian-achievable-90pctl_all-buildings,tif,shade_1800_street_trees_cool_roofs_achievable
trees_cool-roofs,street-trees-achievable-cool-roofs-all,pedestrian-achievable-90pctl_all-buildings,vs-baseline,shade-1500__trees_cool-roofs__pedestrian-achievable-90pctl_all-buildings__vs-baseline,tif,shade_1500_street_trees_cool_roofs_achievable_vs_baseline
trees_cool-roofs,street-trees-achievable-cool-roofs-all,pedestrian-achievable-90pctl_all-buildings,vs-baseline,shade-1200__trees_cool-roofs__pedestrian-achievable-90pctl_all-buildings__vs-baseline,tif,shade_1200_street_trees_cool_roofs_achievable_vs_baseline
trees_cool-roofs,street-trees-achievable-cool-roofs-all,pedestrian-achievable-90pctl_all-buildings,vs-baseline,shade-1800__trees_cool-roofs__pedestrian-achievable-90pctl_all-buildings__vs-baseline,tif,shade_1800_street_trees_cool_roofs_achievable_vs_baseline
